Code,Name,Description,Category,Category Name
1,GNI: Gross National Income,,0,Indicators / Macroeconomic Stats
110,Standard grant,Grants are transfers in cash or in kind for which no legal debt is incurred by the recipient.,100,Grants & Subsidies
1100,Guarantees/insurance,,1000,Guarantees & Insurance
111,Subsidies to national private investors (withdrawn),,100,Grants & Subsidies
2,ODA % GNI,,0,Indicators / Macroeconomic Stats
210,Interest subsidy,"A payment to soften the terms of private export credits, or loans or credits by the banking sector.",100,Grants & Subsidies
211,Interest subsidy to national private exporters (withdrawn),,100,Grants & Subsidies
3,Total Flows % GNI,,0,Indicators / Macroeconomic Stats
310,Capital subscription on deposit basis,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally encashable at sight by the recipient institutions.",100,Grants & Subsidies
311,Capital subscription on encashment basis,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally encashable at sight by the recipient institutions.",100,Grants & Subsidies
4,Population,,0,Indicators / Macroeconomic Stats
410,Aid loan excluding debt reorganisation (withdrawn),,400,Withdrawn Loans & Legacy Instruments
411,Investment-related loan to developing countries (withdrawn),,400,Withdrawn Loans & Legacy Instruments
412,Loan in a joint venture with the recipient (withdrawn),,400,Withdrawn Loans & Legacy Instruments
413,Loan to national private investor (withdrawn),,400,Withdrawn Loans & Legacy Instruments
414,Loan to national private exporter (withdrawn),,400,Withdrawn Loans & Legacy Instruments
421,Standard loan,Transfers in cash or in kind for which the recipient incurs legal debt...,420,Loans & Debt Instruments
422,Reimbursable grant,A contribution provided to a recipient institution for investment purposes...,420,Loans & Debt Instruments
423,Bonds,Fixed-interest debt instruments...,420,Loans & Debt Instruments
424,Asset-backed securities,Securities whose value and income payments are derived from and backed by a specific pool of underlying assets.,420,Loans & Debt Instruments
425,Other debt securities,,420,Loans & Debt Instruments
431,Subordinated loan,"A loan that, in the event of default, will only be repaid after all senior obligations have been satisfied...",430,Subordinated & Hybrid Instruments
432,Preferred equity,"Equity that, in the event of default, will be repaid after all senior obligations...",430,Subordinated & Hybrid Instruments
433,Other hybrid instruments,Including convertible debt or equity.,430,Subordinated & Hybrid Instruments
451,Non-banks guaranteed export credits (withdrawn),,450,Withdrawn Market Instruments
452,Non-banks non-guaranteed portions of guaranteed export credits (withdrawn),,400,Withdrawn Loans & Legacy Instruments
453,Bank export credits (withdrawn),,400,Withdrawn Loans & Legacy Instruments
510,Common equity,A share in the ownership of a corporation that gives the owner claims on the residual value of the corporation after creditors’ claims have been met.,500,Equity & Investment Vehicles
511,Acquisition of equity not part of joint venture in developing countries (withdrawn),,500,Equity & Investment Vehicles
512,Other acquisition of equity (withdrawn),,500,Equity & Investment Vehicles
520,Shares in collective investment vehicles,Collective undertakings through which investors pool funds for investment...,500,Equity & Investment Vehicles
530,Reinvested earnings,This item is only applicable to Foreign Direct Investment (FDI)...,500,Equity & Investment Vehicles
610,Debt forgiveness: ODA claims (P),,600,Debt Forgiveness & Restructuring
611,Debt forgiveness: ODA claims (I),,600,Debt Forgiveness & Restructuring
612,Debt forgiveness: OOF claims (P),,600,Debt Forgiveness & Restructuring
613,Debt forgiveness: OOF claims (I),,600,Debt Forgiveness & Restructuring
614,Debt forgiveness: Private claims (P),,600,Debt Forgiveness & Restructuring
615,Debt forgiveness: Private claims (I),,600,Debt Forgiveness & Restructuring
616,Debt forgiveness: OOF claims (DSR),,600,Debt Forgiveness & Restructuring
617,Debt forgiveness: Private claims (DSR),,600,Debt Forgiveness & Restructuring
618,Debt forgiveness: Other,,600,Debt Forgiveness & Restructuring
620,Debt rescheduling: ODA claims (P),,600,Debt Forgiveness & Restructuring
621,Debt rescheduling: ODA claims (I),,600,Debt Forgiveness & Restructuring
622,Debt rescheduling: OOF claims (P),,600,Debt Forgiveness & Restructuring
623,Debt rescheduling: OOF claims (I),,600,Debt Forgiveness & Restructuring
624,Debt rescheduling: Private claims (P),,600,Debt Forgiveness & Restructuring
625,Debt rescheduling: Private claims (I),,600,Debt Forgiveness & Restructuring
626,Debt rescheduling: OOF claims (DSR),,600,Debt Forgiveness & Restructuring
627,Debt rescheduling: Private claims (DSR),,600,Debt Forgiveness & Restructuring
630,Debt rescheduling: OOF claim (DSR – original loan principal),,600,Debt Forgiveness & Restructuring
631,Debt rescheduling: OOF claim (DSR – original loan interest),,600,Debt Forgiveness & Restructuring
632,Debt rescheduling: Private claim (DSR – original loan principal),,600,Debt Forgiveness & Restructuring
633,Debt forgiveness/conversion: export credit claims (P),,600,Debt Forgiveness & Restructuring
634,Debt forgiveness/conversion: export credit claims (I),,600,Debt Forgiveness & Restructuring
635,Debt forgiveness: export credit claims (DSR),,600,Debt Forgiveness & Restructuring
636,Debt rescheduling: export credit claims (P),,600,Debt Forgiveness & Restructuring
637,Debt rescheduling: export credit claims (I),,600,Debt Forgiveness & Restructuring
638,Debt rescheduling: export credit claims (DSR),,600,Debt Forgiveness & Restructuring
639,Debt rescheduling: export credit claim (DSR – original loan principal),,600,Debt Forgiveness & Restructuring
710,"Foreign direct investment, new capital outflow (withdrawn)",,700,Foreign Direct Investment (Withdrawn)
711,Other foreign direct investment (withdrawn),,700,Foreign Direct Investment (Withdrawn)
712,"Foreign direct investment, reinvested earnings (withdrawn)",,700,Foreign Direct Investment (Withdrawn)
810,Bank bonds (withdrawn),,800,Market Securities (Withdrawn)
811,Non-bank bonds (withdrawn),,800,Market Securities (Withdrawn)
910,Other bank securities/claims (withdrawn),,900,Other Securities (Withdrawn)
911,Other non-bank securities/claims (withdrawn),,900,Other Securities (Withdrawn)
912,Purchase of securities from issuing agencies (withdrawn),,900,Other Securities (Withdrawn)
913,Securities and other instruments originally issued by multilateral agencies (withdrawn),,900,Other Securities (Withdrawn)
